Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D17,LED_G,LED_0805_2012Metric,71.768,-178.998,0,top
D17,LED_G,LED_0805_2012Metric,268.768,-226.998,0,top
D17,LED_G,LED_0805_2012Metric,268.768,-130.998,0,top
D17,LED_G,LED_0805_2012Metric,170.268,-130.998,0,top
D17,LED_G,LED_0805_2012Metric,71.768,-130.998,0,top
D17,LED_G,LED_0805_2012Metric,268.768,-82.998,0,top
D17,LED_G,LED_0805_2012Metric,170.268,-82.998,0,top
D17,LED_G,LED_0805_2012Metric,71.768,-82.998,0,top
D17,LED_G,LED_0805_2012Metric,268.768,-34.998,0,top
D17,LED_G,LED_0805_2012Metric,170.268,-34.998,0,top
D17,LED_G,LED_0805_2012Metric,71.768,-34.998,0,top
D18,LED_G,LED_0805_2012Metric,271.562,-67.504,90,top
D18,LED_G,LED_0805_2012Metric,74.562,-19.504,90,top
D18,LED_G,LED_0805_2012Metric,173.062,-19.504,90,top
D18,LED_G,LED_0805_2012Metric,271.562,-19.504,90,top
D18,LED_G,LED_0805_2012Metric,74.562,-67.504,90,top
D18,LED_G,LED_0805_2012Metric,173.062,-67.504,90,top
D18,LED_G,LED_0805_2012Metric,74.562,-115.504,90,top
D18,LED_G,LED_0805_2012Metric,173.062,-115.504,90,top
D18,LED_G,LED_0805_2012Metric,271.562,-115.504,90,top
D18,LED_G,LED_0805_2012Metric,74.562,-163.504,90,top
D18,LED_G,LED_0805_2012Metric,173.062,-163.504,90,top
D18,LED_G,LED_0805_2012Metric,271.562,-163.504,90,top
D18,LED_G,LED_0805_2012Metric,74.562,-211.504,90,top
D18,LED_G,LED_0805_2012Metric,173.062,-211.504,90,top
D18,LED_G,LED_0805_2012Metric,271.562,-211.504,90,top
D19,LED_G,LED_0805_2012Metric,82.5,-9,180,top
D19,LED_G,LED_0805_2012Metric,181,-9,180,top
D19,LED_G,LED_0805_2012Metric,279.5,-9,180,top
D19,LED_G,LED_0805_2012Metric,82.5,-57,180,top
D19,LED_G,LED_0805_2012Metric,181,-57,180,top
D19,LED_G,LED_0805_2012Metric,279.5,-57,180,top
D19,LED_G,LED_0805_2012Metric,82.5,-105,180,top
D19,LED_G,LED_0805_2012Metric,181,-105,180,top
D19,LED_G,LED_0805_2012Metric,279.5,-105,180,top
D19,LED_G,LED_0805_2012Metric,82.5,-153,180,top
D19,LED_G,LED_0805_2012Metric,181,-153,180,top
D19,LED_G,LED_0805_2012Metric,279.5,-153,180,top
D19,LED_G,LED_0805_2012Metric,82.5,-201,180,top
D19,LED_G,LED_0805_2012Metric,181,-201,180,top
D19,LED_G,LED_0805_2012Metric,279.5,-201,180,top
D20,LED_G,LED_0805_2012Metric,189.064,-212.52,90,top
D20,LED_G,LED_0805_2012Metric,189.064,-20.52,90,top
D20,LED_G,LED_0805_2012Metric,90.564,-20.52,90,top
D20,LED_G,LED_0805_2012Metric,287.564,-212.52,90,top
D20,LED_G,LED_0805_2012Metric,90.564,-212.52,90,top
D20,LED_G,LED_0805_2012Metric,287.564,-164.52,90,top
D20,LED_G,LED_0805_2012Metric,189.064,-164.52,90,top
D20,LED_G,LED_0805_2012Metric,90.564,-164.52,90,top
D20,LED_G,LED_0805_2012Metric,287.564,-116.52,90,top
D20,LED_G,LED_0805_2012Metric,189.064,-116.52,90,top
D20,LED_G,LED_0805_2012Metric,90.564,-116.52,90,top
D20,LED_G,LED_0805_2012Metric,287.564,-68.52,90,top
D20,LED_G,LED_0805_2012Metric,189.064,-68.52,90,top
D20,LED_G,LED_0805_2012Metric,90.564,-68.52,90,top
D20,LED_G,LED_0805_2012Metric,287.564,-20.52,90,top
D21,LED,LED_0805_2012Metric,60.592,-163.758,90,top
D21,LED,LED_0805_2012Metric,159.092,-163.758,90,top
D21,LED,LED_0805_2012Metric,257.592,-163.758,90,top
D21,LED,LED_0805_2012Metric,60.592,-211.758,90,top
D21,LED,LED_0805_2012Metric,159.092,-211.758,90,top
D21,LED,LED_0805_2012Metric,257.592,-211.758,90,top
D21,LED,LED_0805_2012Metric,257.592,-19.758,90,top
D21,LED,LED_0805_2012Metric,60.592,-67.758,90,top
D21,LED,LED_0805_2012Metric,159.092,-67.758,90,top
D21,LED,LED_0805_2012Metric,257.592,-67.758,90,top
D21,LED,LED_0805_2012Metric,60.592,-115.758,90,top
D21,LED,LED_0805_2012Metric,159.092,-115.758,90,top
D21,LED,LED_0805_2012Metric,257.592,-115.758,90,top
D21,LED,LED_0805_2012Metric,60.592,-19.758,90,top
D21,LED,LED_0805_2012Metric,159.092,-19.758,90,top
D22,LED_G,LED_0805_2012Metric,289.7715,-226.998,0,top
D22,LED_G,LED_0805_2012Metric,92.7715,-34.998,0,top
D22,LED_G,LED_0805_2012Metric,191.2715,-34.998,0,top
D22,LED_G,LED_0805_2012Metric,289.7715,-34.998,0,top
D22,LED_G,LED_0805_2012Metric,92.7715,-82.998,0,top
D22,LED_G,LED_0805_2012Metric,191.2715,-82.998,0,top
D22,LED_G,LED_0805_2012Metric,289.7715,-82.998,0,top
D22,LED_G,LED_0805_2012Metric,92.7715,-130.998,0,top
D22,LED_G,LED_0805_2012Metric,191.2715,-130.998,0,top
D22,LED_G,LED_0805_2012Metric,289.7715,-130.998,0,top
D22,LED_G,LED_0805_2012Metric,92.7715,-178.998,0,top
D22,LED_G,LED_0805_2012Metric,191.2715,-178.998,0,top
D22,LED_G,LED_0805_2012Metric,289.7715,-178.998,0,top
D22,LED_G,LED_0805_2012Metric,92.7715,-226.998,0,top
D22,LED_G,LED_0805_2012Metric,191.2715,-226.998,0,top
D23,LED_G,LED_0805_2012Metric,52.464,-213.028,90,top
D23,LED_G,LED_0805_2012Metric,150.964,-21.028,90,top
D23,LED_G,LED_0805_2012Metric,249.464,-21.028,90,top
D23,LED_G,LED_0805_2012Metric,52.464,-69.028,90,top
D23,LED_G,LED_0805_2012Metric,150.964,-69.028,90,top
D23,LED_G,LED_0805_2012Metric,249.464,-69.028,90,top
D23,LED_G,LED_0805_2012Metric,52.464,-117.028,90,top
D23,LED_G,LED_0805_2012Metric,150.964,-117.028,90,top
D23,LED_G,LED_0805_2012Metric,249.464,-117.028,90,top
D23,LED_G,LED_0805_2012Metric,52.464,-165.028,90,top
D23,LED_G,LED_0805_2012Metric,150.964,-165.028,90,top
D23,LED_G,LED_0805_2012Metric,249.464,-165.028,90,top
D23,LED_G,LED_0805_2012Metric,150.964,-213.028,90,top
D23,LED_G,LED_0805_2012Metric,249.464,-213.028,90,top
D23,LED_G,LED_0805_2012Metric,52.464,-21.028,90,top
D24,LED_G,LED_0805_2012Metric,167.22,-115.758,90,top
D24,LED_G,LED_0805_2012Metric,265.72,-211.758,90,top
D24,LED_G,LED_0805_2012Metric,167.22,-211.758,90,top
D24,LED_G,LED_0805_2012Metric,68.72,-211.758,90,top
D24,LED_G,LED_0805_2012Metric,265.72,-163.758,90,top
D24,LED_G,LED_0805_2012Metric,167.22,-163.758,90,top
D24,LED_G,LED_0805_2012Metric,68.72,-163.758,90,top
D24,LED_G,LED_0805_2012Metric,265.72,-115.758,90,top
D24,LED_G,LED_0805_2012Metric,68.72,-115.758,90,top
D24,LED_G,LED_0805_2012Metric,265.72,-67.758,90,top
D24,LED_G,LED_0805_2012Metric,167.22,-67.758,90,top
D24,LED_G,LED_0805_2012Metric,68.72,-67.758,90,top
D24,LED_G,LED_0805_2012Metric,265.72,-19.758,90,top
